architecture,source_dataset,test_dataset,seed42,seed123,seed456,seed789,seed1024
ARNIQA_SNR,Biofilms,EPFL,0.8592,0.5403,1.4066,0.5699,0.4866
ARNIQA_SNR,Biofilms,NFFA,1.2515,1.666,2.8159,1.4897,0.9635
ARNIQA_SNR,EPFL,Biofilms,4.25,4.0531,2.961,4.0658,4.3199
ARNIQA_SNR,EPFL,NFFA,2.5035,2.3749,1.99,2.304,2.5417
ARNIQA_SNR,NFFA,Biofilms,1.7836,1.9771,1.8545,1.6686,2.1096
ARNIQA_SNR,NFFA,EPFL,0.3056,0.3823,0.4114,0.5587,0.3294
CNN_KAN,Biofilms,EPFL,2.5348,1.1801,1.4944,0.5379,1.1698
CNN_KAN,Biofilms,NFFA,0.5447,0.4103,0.5762,0.429,0.3867
CNN_KAN,EPFL,Biofilms,2.9441,3.4922,1.3467,2.0067,1.8098
CNN_KAN,EPFL,NFFA,1.6685,1.8967,1.2679,1.2672,1.2659
CNN_KAN,NFFA,Biofilms,0.1315,0.1657,0.224,0.1981,0.2359
CNN_KAN,NFFA,EPFL,0.3633,0.4049,0.3887,0.4512,0.4128
CNN_KAN_Local,Biofilms,EPFL,1.8053,1.1462,0.8356,0.5647,1.0284
CNN_KAN_Local,Biofilms,NFFA,0.4023,0.3774,0.488,0.4668,0.3326
CNN_KAN_Local,EPFL,Biofilms,2.4858,2.8574,2.584,1.626,3.6853
CNN_KAN_Local,EPFL,NFFA,1.5942,1.65,1.647,1.2278,1.8878
CNN_KAN_Local,NFFA,Biofilms,0.2412,0.1563,0.1637,0.1579,0.1713
CNN_KAN_Local,NFFA,EPFL,0.416,0.4132,0.2264,0.398,0.4833
CNN_KAN_PSD,Biofilms,EPFL,1.5419,0.8308,0.7316,0.5236,1.3245
CNN_KAN_PSD,Biofilms,NFFA,0.489,0.3766,0.4096,0.4832,0.4849
CNN_KAN_PSD,EPFL,Biofilms,3.1145,5.3911,4.0117,5.7885,3.7143
CNN_KAN_PSD,EPFL,NFFA,1.5609,2.2842,1.5645,2.0019,1.5585
CNN_KAN_PSD,NFFA,Biofilms,0.2173,0.2302,0.1632,0.2039,0.2382
CNN_KAN_PSD,NFFA,EPFL,0.4043,0.4306,0.3724,0.4868,0.3852
CNN_MLP,Biofilms,EPFL,1.4529,1.0492,0.9804,0.7737,0.8515
CNN_MLP,Biofilms,NFFA,0.3977,0.5683,0.5916,0.5595,0.4914
CNN_MLP,EPFL,Biofilms,1.5819,1.4764,1.4786,1.3584,1.8291
CNN_MLP,EPFL,NFFA,1.2123,1.3776,1.2672,1.2041,1.518
CNN_MLP,NFFA,Biofilms,0.1694,0.1874,0.1682,0.1677,0.1426
CNN_MLP,NFFA,EPFL,0.3167,0.435,0.3716,0.3354,0.3518
CNN_RF,Biofilms,EPFL,1.5061,1.4578,1.6334,0.6154,1.629
CNN_RF,Biofilms,NFFA,0.7299,0.9239,0.6779,0.7539,0.7278
CNN_RF,EPFL,Biofilms,4.8304,4.8067,4.9036,5.0232,4.8638
CNN_RF,EPFL,NFFA,2.416,2.6079,2.6575,2.7371,2.5283
CNN_RF,NFFA,Biofilms,1.134,0.6813,0.4662,0.6523,0.6089
CNN_RF,NFFA,EPFL,0.5962,0.5607,1.48,0.4719,0.9518
CalibNet,Biofilms,EPFL,0.6112,1.3976,0.7598,1.7969,1.1863
CalibNet,Biofilms,NFFA,1.5704,1.4398,1.7704,1.6811,1.448
CalibNet,EPFL,Biofilms,7.7807,6.0476,4.2956,11.2495,5.4883
CalibNet,EPFL,NFFA,2.8328,2.8712,1.9637,3.4188,2.5969
CalibNet,NFFA,Biofilms,1.2497,1.3251,1.196,1.1283,1.4418
CalibNet,NFFA,EPFL,0.1361,0.3404,0.2035,0.2916,0.4169
ConvNextTinyRegression,Biofilms,EPFL,0.5769,1.0203,1.7153,3.1215,1.1178
ConvNextTinyRegression,Biofilms,NFFA,1.1184,1.3073,3.1302,1.7591,1.7468
ConvNextTinyRegression,EPFL,Biofilms,5.2608,5.261,5.2633,5.2617,5.26
ConvNextTinyRegression,EPFL,NFFA,2.8161,2.8162,2.8171,2.8164,2.8158
