architecture,source_dataset,test_dataset,seed42,seed123,seed456,seed789,seed1024
ARNIQA_SNR,Biofilms,EPFL,-1.9601,-0.2565,-7.8244,-0.4472,-0.087
ARNIQA_SNR,Biofilms,NFFA,0.7884,0.6538,-0.1524,0.6147,0.8449
ARNIQA_SNR,EPFL,Biofilms,-0.8251,-0.6534,0.0689,-0.6905,-0.8699
ARNIQA_SNR,EPFL,NFFA,0.1147,0.2133,0.4349,0.2301,0.095
ARNIQA_SNR,NFFA,Biofilms,0.6415,0.587,0.6151,0.6729,0.3585
ARNIQA_SNR,NFFA,EPFL,0.6018,0.4752,0.3869,-0.005,0.5754
CNN_KAN,Biofilms,EPFL,-19.1257,-3.4207,-5.8239,0.0522,-3.4145
CNN_KAN,Biofilms,NFFA,0.9385,0.9619,0.9356,0.9487,0.9629
CNN_KAN,EPFL,Biofilms,0.0857,-0.1718,0.8064,0.5198,0.6955
CNN_KAN,EPFL,NFFA,0.5776,0.4781,0.7753,0.7532,0.7702
CNN_KAN,NFFA,Biofilms,0.9974,0.9959,0.9936,0.9946,0.9904
CNN_KAN,NFFA,EPFL,0.6026,0.504,0.5276,0.3947,0.4905
CNN_KAN_Local,Biofilms,EPFL,-9.2644,-3.3593,-1.0946,0.0433,-2.1789
CNN_KAN_Local,Biofilms,NFFA,0.9641,0.9651,0.9505,0.9434,0.9763
CNN_KAN_Local,EPFL,Biofilms,0.3053,0.2293,0.2619,0.7382,-0.3671
CNN_KAN_Local,EPFL,NFFA,0.6203,0.6207,0.5808,0.7732,0.4502
CNN_KAN_Local,NFFA,Biofilms,0.9911,0.9958,0.9961,0.9961,0.9934
CNN_KAN_Local,NFFA,EPFL,0.4844,0.4914,0.8324,0.5268,0.3001
CNN_KAN_PSD,Biofilms,EPFL,-6.4207,-1.2451,-0.739,0.0719,-4.5197
CNN_KAN_PSD,Biofilms,NFFA,0.9481,0.967,0.9618,0.9389,0.9488
CNN_KAN_PSD,EPFL,Biofilms,0.0276,-2.2149,-0.5884,-3.2358,-0.5031
CNN_KAN_PSD,EPFL,NFFA,0.7043,0.3448,0.6689,0.4174,0.6842
CNN_KAN_PSD,NFFA,Biofilms,0.9933,0.9905,0.9953,0.9925,0.9913
CNN_KAN_PSD,NFFA,EPFL,0.5046,0.4464,0.5817,0.2938,0.5495
CNN_MLP,Biofilms,EPFL,-5.6021,-2.5637,-2.0844,-0.873,-1.2415
CNN_MLP,Biofilms,NFFA,0.9677,0.9184,0.9159,0.9312,0.9431
CNN_MLP,EPFL,Biofilms,0.5658,0.583,0.5119,0.5773,0.303
CNN_MLP,EPFL,NFFA,0.7599,0.7041,0.7232,0.7552,0.6212
CNN_MLP,NFFA,Biofilms,0.994,0.9918,0.994,0.9947,0.9963
CNN_MLP,NFFA,EPFL,0.6915,0.4389,0.5845,0.6592,0.6322
CNN_RF,Biofilms,EPFL,-7.0337,-5.6233,-7.9461,-0.7666,-7.13
CNN_RF,Biofilms,NFFA,0.9146,0.8269,0.9032,0.8943,0.8978
CNN_RF,EPFL,Biofilms,-1.3612,-1.2911,-1.3786,-1.6034,-1.4332
CNN_RF,EPFL,NFFA,0.0754,-0.0018,-0.095,-0.1663,0.0003
CNN_RF,NFFA,Biofilms,0.8495,0.9382,0.9721,0.9522,0.9555
CNN_RF,NFFA,EPFL,-0.6037,-0.3529,-6.0932,0.0817,-1.9471
CalibNet,Biofilms,EPFL,-0.7102,-7.5249,-1.072,-11.0914,-4.3461
CalibNet,Biofilms,NFFA,0.6078,0.6288,0.5761,0.3981,0.6433
CalibNet,EPFL,Biofilms,-4.4295,-2.1762,-1.4724,-11.4832,-3.1045
CalibNet,EPFL,NFFA,-0.0234,-0.0286,0.4357,-1.119,0.1412
CalibNet,NFFA,Biofilms,0.7903,0.8005,0.8395,0.8499,0.7026
CalibNet,NFFA,EPFL,0.9158,0.5662,0.8259,0.6518,0.4
ConvNextTinyRegression,Biofilms,EPFL,-0.4592,-2.3882,-11.3578,-28.6826,-4.3292
ConvNextTinyRegression,Biofilms,NFFA,0.8365,0.7825,-0.7185,0.6121,0.4672
ConvNextTinyRegression,EPFL,Biofilms,-1.6499,-1.6501,-1.6521,-1.6507,-1.6492
ConvNextTinyRegression,EPFL,NFFA,-0.1475,-0.1475,-0.1482,-0.1477,-0.1472
ConvNextTinyRegression,NFFA,Biofilms,-1.6553,-1.5839,-1.6779,-1.7328,-1.7229
ConvNextTinyRegression,NFFA,EPFL,-0.0058,-0.0665,-0.0004,-0.0136,-0.0085
ResNeXt50Regression,Biofilms,EPFL,-88.3116,0.1525,-107.1811,-0.0375,-6.1601
ResNeXt50Regression,Biofilms,NFFA,-3.0461,0.7052,-3.5025,0.0692,0.8719
ResNeXt50Regression,EPFL,Biofilms,-9.7253,0.8197,0.8249,-25.9386,-3.9244
ResNeXt50Regression,EPFL,NFFA,-2.8381,0.9535,0.9604,-4.5988,-1.0751
ResNeXt50Regression,NFFA,Biofilms,0.5261,0.7737,0.6487,0.674,0.6851
