architecture,source_dataset,test_dataset,seed42,seed123,seed456,seed789,seed1024
ARNIQA_SNR,Biofilms,EPFL,1.001,0.6522,1.7282,0.6999,0.6066
ARNIQA_SNR,Biofilms,NFFA,1.5915,2.0355,3.7137,2.1475,1.3624
ARNIQA_SNR,EPFL,Biofilms,5.0918,4.8463,3.6368,4.9004,5.1538
ARNIQA_SNR,EPFL,NFFA,3.2551,3.0685,2.6006,3.0354,3.2911
ARNIQA_SNR,NFFA,Biofilms,2.2567,2.4221,2.3383,2.1554,3.0187
ARNIQA_SNR,NFFA,EPFL,0.3671,0.4215,0.4555,0.5832,0.3791
CNN_KAN,Biofilms,EPFL,2.61,1.2232,1.5198,0.5664,1.2224
CNN_KAN,Biofilms,NFFA,0.8578,0.6754,0.8781,0.7833,0.6662
CNN_KAN,EPFL,Biofilms,3.6039,4.0798,1.6584,2.6117,2.0797
CNN_KAN,EPFL,NFFA,2.2484,2.4992,1.64,1.7187,1.6583
CNN_KAN,NFFA,Biofilms,0.192,0.2411,0.3014,0.2765,0.3691
CNN_KAN,NFFA,EPFL,0.3667,0.4097,0.3999,0.4526,0.4153
CNN_KAN_Local,Biofilms,EPFL,1.8639,1.2147,0.842,0.5691,1.0373
CNN_KAN_Local,Biofilms,NFFA,0.6558,0.6461,0.7694,0.8227,0.533
CNN_KAN_Local,EPFL,Biofilms,3.1413,3.3087,3.238,1.9283,4.4068
CNN_KAN_Local,EPFL,NFFA,2.1318,2.1305,2.2398,1.6476,2.5651
CNN_KAN_Local,NFFA,Biofilms,0.3564,0.2442,0.236,0.2344,0.3067
CNN_KAN_Local,NFFA,EPFL,0.4177,0.4149,0.2382,0.4002,0.4867
CNN_KAN_PSD,Biofilms,EPFL,1.5848,0.8717,0.7672,0.5605,1.3669
CNN_KAN_PSD,Biofilms,NFFA,0.7884,0.6281,0.6762,0.8552,0.7827
CNN_KAN_PSD,EPFL,Biofilms,3.7166,6.7578,4.7501,7.7569,4.6208
CNN_KAN_PSD,EPFL,NFFA,1.8813,2.8003,1.9906,2.6405,1.944
CNN_KAN_PSD,NFFA,Biofilms,0.3094,0.3681,0.2589,0.3272,0.3519
CNN_KAN_PSD,NFFA,EPFL,0.4095,0.4329,0.3763,0.4889,0.3905
CNN_MLP,Biofilms,EPFL,1.4949,1.0983,1.0218,0.7962,0.871
CNN_MLP,Biofilms,NFFA,0.6218,0.9881,1.0033,0.9074,0.8255
CNN_MLP,EPFL,Biofilms,2.4836,2.4339,2.6332,2.4503,3.1465
CNN_MLP,EPFL,NFFA,1.6951,1.8819,1.8203,1.7117,2.1293
CNN_MLP,NFFA,Biofilms,0.2913,0.3405,0.2916,0.2746,0.2297
CNN_MLP,NFFA,EPFL,0.3231,0.4358,0.375,0.3396,0.3528
CNN_RF,Biofilms,EPFL,1.649,1.4973,1.7401,0.7733,1.6589
CNN_RF,Biofilms,NFFA,1.0108,1.4395,1.0761,1.1247,1.1062
CNN_RF,EPFL,Biofilms,5.7915,5.7049,5.8127,6.0812,5.8791
CNN_RF,EPFL,NFFA,3.3264,3.4626,3.6201,3.736,3.459
CNN_RF,NFFA,Biofilms,1.4621,0.9371,0.6296,0.8242,0.7952
CNN_RF,NFFA,EPFL,0.7368,0.6767,1.5495,0.5575,0.9988
CalibNet,Biofilms,EPFL,0.7608,1.6987,0.8374,2.023,1.3452
CalibNet,Biofilms,NFFA,2.1664,2.1077,2.2523,2.684,2.066
CalibNet,EPFL,Biofilms,8.7822,6.717,5.9262,13.3163,7.6358
CalibNet,EPFL,NFFA,3.4998,3.5087,2.5988,5.0359,3.206
CalibNet,NFFA,Biofilms,1.7261,1.6832,1.51,1.4601,2.0555
CalibNet,NFFA,EPFL,0.1688,0.3832,0.2427,0.3433,0.4506
ConvNextTinyRegression,Biofilms,EPFL,0.7028,1.0709,2.0452,3.1697,1.3431
ConvNextTinyRegression,Biofilms,NFFA,1.3988,1.6135,4.5351,2.1546,2.5252
ConvNextTinyRegression,EPFL,Biofilms,6.1353,6.1356,6.1379,6.1363,6.1345
ConvNextTinyRegression,EPFL,NFFA,3.7058,3.7059,3.707,3.7062,3.7054
ConvNextTinyRegression,NFFA,Biofilms,6.1415,6.0585,6.1676,6.2306,6.2192
ConvNextTinyRegression,NFFA,EPFL,0.5835,0.6008,0.5819,0.5857,0.5843
ResNeXt50Regression,Biofilms,EPFL,5.4982,0.5356,6.0512,0.5926,1.5568
ResNeXt50Regression,Biofilms,NFFA,6.9587,1.8782,7.3407,3.3377,1.2381
ResNeXt50Regression,EPFL,Biofilms,12.3432,1.6002,1.5771,19.5618,8.3637
ResNeXt50Regression,EPFL,NFFA,6.7775,0.7456,0.6882,8.1858,4.9835
ResNeXt50Regression,NFFA,Biofilms,2.5947,1.793,2.234,2.152,2.1149
ResNeXt50Regression,NFFA,EPFL,0.2258,0.162,0.2875,0.2673,0.1705
ResNet18Regression,Biofilms,EPFL,1.6187,4.3117,2.5872,1.7536,0.8347
ResNet18Regression,Biofilms,NFFA,1.5448,4.0417,2.1819,1.764,1.298
ResNet18Regression,EPFL,Biofilms,3.775,4.4675,4.7806,3.2464,3.0422
ResNet18Regression,EPFL,NFFA,2.2118,2.3742,2.5817,1.9782,2.0676
ResNet18Regression,NFFA,Biofilms,1.7112,2.0249,2.5274,2.1126,1.4703
ResNet18Regression,NFFA,EPFL,0.2257,0.2336,0.4146,0.3303,0.2548
TOPIQ_NR_SNR,Biofilms,EPFL,0.8725,1.3268,1.0598,1.6836,1.273
TOPIQ_NR_SNR,Biofilms,NFFA,2.0938,2.3969,2.2129,1.8334,1.8452
TOPIQ_NR_SNR,EPFL,Biofilms,5.6372,5.384,5.393,5.3177,5.3095
TOPIQ_NR_SNR,EPFL,NFFA,3.3293,3.2294,3.2386,3.1606,3.2006
TOPIQ_NR_SNR,NFFA,Biofilms,3.9599,2.0397,2.1608,1.8426,2.5133
TOPIQ_NR_SNR,NFFA,EPFL,1.2094,0.3983,0.6444,0.6005,0.4922
ViTRegression,Biofilms,EPFL,0.947,4.5525,2.9937,4.8109,1.944
ViTRegression,Biofilms,NFFA,2.4864,4.6678,3.7358,4.8474,3.1987
ViTRegression,EPFL,Biofilms,6.3502,6.0377,5.8616,5.9533,5.7427
ViTRegression,EPFL,NFFA,3.8448,3.6893,3.4947,3.5762,3.4714
ViTRegression,NFFA,Biofilms,6.0851,6.127,6.051,6.2084,6.0173
ViTRegression,NFFA,EPFL,0.5718,0.585,0.5762,0.5766,0.5675
proposed,Biofilms,EPFL,1.7726,1.0822,1.1216,0.8933,0.9607
proposed,Biofilms,NFFA,0.9296,0.8199,0.8547,0.7135,0.7281
proposed,EPFL,Biofilms,3.2068,2.7439,3.0775,3.1602,2.7505
proposed,EPFL,NFFA,2.5618,2.2027,2.3287,2.2626,2.5557
proposed,NFFA,Biofilms,0.3669,0.417,0.3791,0.2672,0.3882
proposed,NFFA,EPFL,0.3923,0.4021,0.3434,0.2601,0.2698
