architecture,source_dataset,seed42,seed123,seed456,seed789,seed1024
ARNIQA_SNR,Biofilms,1.204,1.3724,1.1433,1.0582,1.0412
ARNIQA_SNR,EPFL,0.6201,0.7515,0.6185,0.6809,0.7513
ARNIQA_SNR,NFFA,0.6929,0.5808,0.3988,0.3929,0.5468
CNN_KAN,Biofilms,0.1797,0.2433,0.1408,0.179,0.1784
CNN_KAN,EPFL,0.0154,0.0166,0.0154,0.0124,0.0139
CNN_KAN,NFFA,0.0546,0.0469,0.0505,0.0632,0.0603
CNN_KAN_Local,Biofilms,0.1113,0.1914,0.2186,0.2179,0.1341
CNN_KAN_Local,EPFL,0.0155,0.0156,0.0125,0.015,0.0146
CNN_KAN_Local,NFFA,0.0646,0.0507,0.0649,0.0493,0.063
CNN_KAN_PSD,Biofilms,0.1522,0.1718,0.104,0.2666,0.1976
CNN_KAN_PSD,EPFL,0.013,0.0127,0.0108,0.0117,0.0128
CNN_KAN_PSD,NFFA,0.0588,0.0533,0.0573,0.053,0.0592
CNN_MLP,Biofilms,0.2426,0.4414,0.3963,0.3166,0.3262
CNN_MLP,EPFL,0.0108,0.0126,0.0116,0.0113,0.0107
CNN_MLP,NFFA,0.0523,0.0441,0.0424,0.0433,0.0398
CNN_RF,Biofilms,0.1238,0.1488,0.1014,0.1017,0.1215
CNN_RF,EPFL,0.0186,0.0267,0.0243,0.0291,0.0227
CNN_RF,NFFA,0.106,0.125,0.1074,0.1209,0.1272
CalibNet,Biofilms,1.1203,1.0642,1.0704,0.8705,1.171
CalibNet,EPFL,0.0244,0.027,0.0245,0.0241,0.0308
CalibNet,NFFA,0.1757,0.121,0.082,0.0605,0.2691
ConvNextTinyRegression,Biofilms,0.6598,0.8904,0.688,0.6431,0.5167
ConvNextTinyRegression,EPFL,0.4952,0.4951,0.4951,0.4951,0.4952
ConvNextTinyRegression,NFFA,2.8184,2.7898,2.8279,2.852,2.8476
ResNeXt50Regression,Biofilms,0.8088,0.5777,0.5275,0.5861,0.4772
ResNeXt50Regression,EPFL,0.0154,0.1422,0.1877,0.0302,0.2223
ResNeXt50Regression,NFFA,0.2583,0.3064,0.2999,0.2993,0.3245
ResNet18Regression,Biofilms,0.6502,0.7021,0.6645,0.4822,0.5817
ResNet18Regression,EPFL,0.0178,0.0235,0.0158,0.0169,0.0195
ResNet18Regression,NFFA,0.3171,0.3499,0.3238,0.2945,0.3414
TOPIQ_NR_SNR,Biofilms,0.8348,1.2262,0.8931,0.9892,1.2661
TOPIQ_NR_SNR,EPFL,0.0699,0.0724,0.0373,0.0376,0.0363
TOPIQ_NR_SNR,NFFA,0.9268,0.7835,0.4061,0.3571,0.3497
ViTRegression,Biofilms,2.0643,3.1766,2.934,3.1755,2.6932
ViTRegression,EPFL,0.4887,0.4846,0.4797,0.4739,0.4856
ViTRegression,NFFA,2.778,2.813,2.7479,2.8393,2.7447
proposed,Biofilms,0.4069,0.2629,0.3473,0.2859,0.2647
proposed,EPFL,0.0102,0.011,0.0113,0.0121,0.012
proposed,NFFA,0.0444,0.0428,0.0535,0.0447,0.0598
