architecture,source_dataset,seed42,seed123,seed456,seed789,seed1024
ARNIQA_SNR,Biofilms,0.8174,0.8235,0.8701,0.862,0.8529
ARNIQA_SNR,EPFL,-0.3627,-1.1437,-0.3884,-0.724,-1.2378
ARNIQA_SNR,NFFA,0.9271,0.9476,0.9691,0.9693,0.9549
CNN_KAN,Biofilms,0.9889,0.9827,0.9969,0.9919,0.9904
CNN_KAN,EPFL,0.9989,0.9987,0.9989,0.9993,0.9991
CNN_KAN,NFFA,0.999,0.9993,0.999,0.9988,0.9988
CNN_KAN_Local,Biofilms,0.9967,0.991,0.9821,0.9864,0.9971
CNN_KAN_Local,EPFL,0.9989,0.9989,0.9993,0.999,0.999
CNN_KAN_Local,NFFA,0.9987,0.9992,0.9985,0.9993,0.9988
CNN_KAN_PSD,Biofilms,0.9957,0.9867,0.9985,0.9669,0.988
CNN_KAN_PSD,EPFL,0.9992,0.9992,0.9994,0.9994,0.9992
CNN_KAN_PSD,NFFA,0.9991,0.9988,0.9987,0.9986,0.9989
CNN_MLP,Biofilms,0.9763,0.92,0.9293,0.9624,0.9559
CNN_MLP,EPFL,0.9994,0.9992,0.9994,0.9994,0.9995
CNN_MLP,NFFA,0.9982,0.9983,0.9988,0.9985,0.9993
CNN_RF,Biofilms,0.998,0.9966,0.9981,0.9986,0.9978
CNN_RF,EPFL,0.9982,0.9965,0.9972,0.9959,0.9975
CNN_RF,NFFA,0.9982,0.9972,0.9981,0.9974,0.9971
CalibNet,Biofilms,0.8107,0.8394,0.8449,0.8,0.788
CalibNet,EPFL,0.9972,0.9965,0.9972,0.9973,0.9955
CalibNet,NFFA,0.9956,0.9972,0.9988,0.9993,0.9797
ConvNextTinyRegression,Biofilms,0.9121,0.8308,0.9075,0.9297,0.9588
ConvNextTinyRegression,EPFL,-0.0081,-0.008,-0.0069,-0.0077,-0.0084
ConvNextTinyRegression,NFFA,-0.1492,-0.1266,-0.1567,-0.1754,-0.1719
ResNeXt50Regression,Biofilms,0.8564,0.946,0.9336,0.9435,0.9607
ResNeXt50Regression,EPFL,0.9989,0.9003,0.8327,0.9959,0.8373
ResNeXt50Regression,NFFA,0.9801,0.9538,0.964,0.9682,0.9436
ResNet18Regression,Biofilms,0.9145,0.9169,0.9317,0.9603,0.9357
ResNet18Regression,EPFL,0.9985,0.9974,0.9989,0.9986,0.9983
ResNet18Regression,NFFA,0.9723,0.9508,0.9686,0.9717,0.9511
TOPIQ_NR_SNR,Biofilms,0.9026,0.7864,0.9012,0.8557,0.7689
TOPIQ_NR_SNR,EPFL,0.9774,0.9758,0.9932,0.9932,0.9936
TOPIQ_NR_SNR,NFFA,0.8648,0.893,0.9708,0.9737,0.979
ViTRegression,Biofilms,0.4623,-0.0032,0.0206,0.0004,0.0867
ViTRegression,EPFL,0.0314,0.0432,0.0797,0.1075,0.0239
ViTRegression,NFFA,-0.1098,-0.1449,-0.0733,-0.1624,-0.0782
proposed,Biofilms,0.9209,0.9648,0.9546,0.9649,0.9773
proposed,EPFL,0.9995,0.9994,0.9994,0.9993,0.9993
proposed,NFFA,0.999,0.9988,0.9985,0.9986,0.9979
