architecture,source_dataset,seed42,seed123,seed456,seed789,seed1024
ARNIQA_SNR,Biofilms,1.6106,1.5834,1.3584,1.4,1.4457
ARNIQA_SNR,EPFL,0.6792,0.8518,0.6855,0.7639,0.8703
ARNIQA_SNR,NFFA,0.9339,0.7918,0.6083,0.6063,0.7344
CNN_KAN,Biofilms,0.3977,0.4962,0.2083,0.3401,0.3686
CNN_KAN,EPFL,0.0197,0.0209,0.0192,0.0158,0.0176
CNN_KAN,NFFA,0.1079,0.0935,0.1079,0.1213,0.1211
CNN_KAN_Local,Biofilms,0.2162,0.3572,0.504,0.4387,0.2046
CNN_KAN_Local,EPFL,0.0196,0.0196,0.0159,0.0188,0.0186
CNN_KAN_Local,NFFA,0.1235,0.095,0.1341,0.0939,0.1193
CNN_KAN_PSD,Biofilms,0.2469,0.4348,0.1467,0.6859,0.413
CNN_KAN_PSD,EPFL,0.0164,0.016,0.0137,0.0147,0.0164
CNN_KAN_PSD,NFFA,0.1044,0.1199,0.1237,0.1292,0.1138
CNN_MLP,Biofilms,0.5802,1.0661,1.0025,0.7304,0.7914
CNN_MLP,EPFL,0.0138,0.0161,0.0148,0.0143,0.0136
CNN_MLP,NFFA,0.1476,0.1416,0.1195,0.1349,0.0915
CNN_RF,Biofilms,0.1685,0.2208,0.1624,0.1404,0.1772
CNN_RF,EPFL,0.0244,0.0342,0.0306,0.037,0.0292
CNN_RF,NFFA,0.1448,0.1835,0.1493,0.1768,0.1861
CalibNet,Biofilms,1.64,1.5103,1.4845,1.6857,1.7355
CalibNet,EPFL,0.0308,0.0343,0.0307,0.0303,0.0389
CalibNet,NFFA,0.2303,0.1846,0.1177,0.0916,0.4932
ConvNextTinyRegression,Biofilms,1.1173,1.5502,1.1462,0.9992,0.7654
ConvNextTinyRegression,EPFL,0.5841,0.5841,0.5838,0.584,0.5842
ConvNextTinyRegression,NFFA,3.7086,3.6719,3.7207,3.7506,3.745
ResNeXt50Regression,Biofilms,1.428,0.8761,0.971,0.8956,0.7475
ResNeXt50Regression,EPFL,0.0193,0.1837,0.238,0.0372,0.2346
ResNeXt50Regression,NFFA,0.4883,0.7439,0.6565,0.6168,0.8216
ResNet18Regression,Biofilms,1.1022,1.0867,0.9853,0.7507,0.9556
ResNet18Regression,EPFL,0.0226,0.0294,0.0195,0.0214,0.0242
ResNet18Regression,NFFA,0.5762,0.7677,0.6126,0.5815,0.7651
TOPIQ_NR_SNR,Biofilms,1.1761,1.7418,1.1844,1.4318,1.8119
TOPIQ_NR_SNR,EPFL,0.0875,0.0904,0.0478,0.0479,0.0465
TOPIQ_NR_SNR,NFFA,1.272,1.1316,0.5908,0.5614,0.501
ViTRegression,Biofilms,2.7638,3.7749,3.7299,3.7683,3.6019
ViTRegression,EPFL,0.5726,0.5691,0.5581,0.5496,0.5748
ViTRegression,NFFA,3.6444,3.7017,3.5841,3.7298,3.5922
proposed,Biofilms,1.0597,0.7074,0.8033,0.7057,0.5679
proposed,EPFL,0.0128,0.0138,0.0144,0.0151,0.0152
proposed,NFFA,0.1078,0.1211,0.1329,0.1284,0.1577
