architecture,source_dataset,n_seeds,mae_mean,mae_sd,mae_ci95_lo,mae_ci95_hi,rmse_mean,rmse_sd,rmse_ci95_lo,rmse_ci95_hi,r2_mean,r2_sd,r2_ci95_lo,r2_ci95_hi
ARNIQA_SNR,Biofilms,5,1.1638015038626535,0.1339174329319284,0.9975210486592108,1.3300819590660962,1.4796194308004607,0.11192533069996798,1.3406457771832598,1.6185930844176615,0.8451752100329294,0.02348426121226453,0.8160156483612474,0.8743347717046114
ARNIQA_SNR,EPFL,5,0.6844492346356172,0.06610411331036899,0.6023701370049498,0.7665283322662847,0.7701389375988563,0.0896946791755162,0.658768283636181,0.8815095915615316,-0.7713238509938677,0.4098869104967852,-1.2802656710926943,-0.262382030895041
ARNIQA_SNR,NFFA,5,0.5224351753472046,0.12758979274919421,0.3640115231522505,0.6808588275421588,0.7349635825270857,0.1373107906453552,0.564469717217854,0.9054574478363174,0.9536048763032957,0.01749651552938096,0.9318800828764503,0.9753296697301411
CNN_KAN,Biofilms,5,0.18424247801303864,0.036919968054256895,0.13840028286523479,0.2300846731608425,0.3621609539270022,0.10420278315785764,0.23277610956725683,0.4915457982867476,0.9901551008224487,0.005167395627687197,0.983738931707074,0.9965712699378234
CNN_KAN,EPFL,5,0.014737313054501941,0.0016276425319554672,0.012716327920627619,0.016758298188376264,0.018641762344993817,0.0019840010795902957,0.016178299632069147,0.021105225057918488,0.998963987827301,0.0002143680556301025,0.9986978147302602,0.9992301609243418
CNN_KAN,NFFA,5,0.05510138943791384,0.0067341127143661595,0.04673988412063915,0.06346289475518853,0.1103236349228814,0.01150628996321981,0.09603668892265804,0.12461058092310476,0.9989741683006287,0.0002082971687062732,0.9987155332053184,0.999232803395939
CNN_KAN_Local,Biofilms,5,0.17466610521078108,0.049330031672807584,0.11341478085240449,0.23591742956915768,0.3441486573378289,0.13275292363285598,0.17931413140661798,0.5089831832690398,0.9906697392463684,0.006485021586675194,0.9826175214146196,0.9987219570781172
CNN_KAN_Local,EPFL,5,0.014642676338553378,0.0012468955065726745,0.013094451078520043,0.016190901598586712,0.018483317719559363,0.0014981192896083746,0.016623156932638047,0.02034347850648068,0.9989853620529174,0.00015662927675271074,0.9987908811189089,0.999179842986926
CNN_KAN_Local,NFFA,5,0.058501838147640185,0.007805889370711792,0.04880954634206592,0.06819412995321446,0.1131835212180607,0.017917755760062555,0.0909356889621829,0.1354313534739385,0.9989081263542176,0.0003361724359272263,0.9984907131433383,0.9993255395650968
CNN_KAN_PSD,Biofilms,5,0.17845430076122284,0.06000575810244083,0.10394731124049825,0.25296129028194747,0.3854384082737686,0.20597825294248706,0.12968262718217388,0.6411941893653632,0.9871521592140198,0.012385709499905279,0.971773269635777,1.0025310487922625
CNN_KAN_PSD,EPFL,5,0.01220825538039202,0.0009226085544290704,0.011062685553922626,0.013353825206861413,0.01544214764140076,0.0011848490191529368,0.013970963271011516,0.016913332011790003,0.9992921590805054,0.00010593222475933461,0.9991606268507721,0.9994236913102387
CNN_KAN_PSD,NFFA,5,0.05629926919937128,0.0029825363398791192,0.052595961202808954,0.06000257719593361,0.11820251229454212,0.009533273899495202,0.10636538930852332,0.13003963528056092,0.9988264918327332,0.00018581060128758977,0.9985957774986298,0.9990572061668366
CNN_MLP,Biofilms,5,0.3445989340543747,0.07677550692827591,0.24926955115769084,0.43992831695105855,0.8341210582285056,0.19952295686995006,0.5863805858679262,1.081861530589085,0.9487784385681153,0.023481900459781237,0.9196218081578005,0.9779350689784301
CNN_MLP,EPFL,5,0.0114010961726307,0.0007819391541701409,0.010430190476111734,0.012372001869149668,0.01452208654588342,0.0009846297611991572,0.013299507219842457,0.015744665871924385,0.9993746519088745,8.660621135782534e-05,0.9992671160942107,0.9994821877235384
CNN_MLP,NFFA,5,0.0443815097212791,0.004694282659146473,0.038552787946024694,0.0502102314965335,0.12701451637626998,0.022442526034981182,0.09914843976988318,0.15488059298265677,0.9986183524131775,0.0004468076593610558,0.9980635674284272,0.9991731373979279
CNN_RF,Biofilms,5,0.1194305917263031,0.019524340965634737,0.09518792046061954,0.14367326299198668,0.17386344734742729,0.02957824942542242,0.1371371999059891,0.21058969478886547,0.997822719801753,0.0007644834643851815,0.9968734882068038,0.9987719513967022
