architecture,n_runs,df,t_crit,mae_mean,mae_sd,mae_ci95_lo,mae_ci95_hi,rmse_mean,rmse_sd,rmse_ci95_lo,rmse_ci95_hi,r2_mean,r2_sd,r2_ci95_lo,r2_ci95_hi,note
ARNIQA_SNR,15,14,2.144786687917804,0.7902286379484919,0.30078797540036584,0.6236578092471017,0.956799466649882,0.9949073169754676,0.37060700084799636,0.7896720007311319,1.2001426332198033,0.3424854117807859,0.8455401995616346,-0.1257591433875222,0.8107299669490939,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
CNN_KAN,15,14,2.144786687917804,0.08469372683515149,0.07747908784926019,0.04178723812694835,0.12760021554335463,0.16370878373162576,0.16043837207125888,0.07486097471984615,0.25255659274340536,0.9960310856501261,0.005113843379952192,0.9931991335798549,0.9988630377203973,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
CNN_KAN_Local,15,14,2.144786687917804,0.08260353989899155,0.07481366825241068,0.04117311136404895,0.12403396843393416,0.15860516542514966,0.15865612928912115,0.07074432956870516,0.24646600128159415,0.9961877425511678,0.005326147196264348,0.9932382205462191,0.9991372645561165,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
CNN_KAN_PSD,15,14,2.144786687917804,0.08232060844699539,0.07955880380203999,0.03826241143244481,0.12637880546154595,0.17302768940323715,0.19545987786994193,0.0647856169223399,0.2812697618841344,0.9950902700424195,0.008811317112186448,0.9902107252688159,0.999969814816023,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
CNN_MLP,15,14,2.144786687917804,0.13346051331609485,0.16052002973905635,0.044567483795161775,0.2223535428370279,0.32521922038355305,0.39053540705517714,0.10894792062887385,0.5414905201382323,0.9822571476300558,0.02753444183903002,0.9670090819823095,0.9975052132778021,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
CNN_RF,15,14,2.144786687917804,0.08700192338895711,0.047437060677316574,0.06073215479976656,0.11327169197814765,0.12435592823184619,0.07092889932016924,0.08507681302482356,0.1636350434388688,0.9975076843578179,0.0007583881127880897,0.9970877030196136,0.9979276656960222,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
CalibNet,15,14,2.144786687917804,0.40902340387304625,0.48435541385990877,0.14079631612041638,0.6772504916256761,0.6225640286022431,0.7354478349117373,0.21528659284427681,1.0298414643602094,0.9358097831408183,0.08838743448917624,0.8868624534144385,0.9847571128671981,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
ConvNextTinyRegression,15,14,2.144786687917804,1.3339560449123382,1.098116584321977,0.7258393500285666,1.9420727397961097,1.8063504918724014,1.4263643969883208,1.0164562172749658,2.596244766469837,0.24800876379013062,0.48772369668847415,-0.022083616819728674,0.5181011443999899,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
ResNeXt50Regression,15,14,2.144786687917804,0.337565526800851,0.22030968041557875,0.21556209235864843,0.4595689612430536,0.5971949164534521,0.39516529466965195,0.378359670398357,0.8160301625085473,0.9343404968579611,0.05372786681268019,0.9045869959494431,0.964093997766479,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
ResNet18Regression,15,14,2.144786687917804,0.320067265505592,0.25697211077110804,0.17776085386358978,0.46237367714759425,0.5533795819055695,0.4202716446801674,0.3206409026385839,0.786118261172555,0.9643507560094198,0.03038214126766921,0.9475256869821683,0.9811758250366712,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
TOPIQ_NR_SNR,15,14,2.144786687917804,0.5524055546931135,0.45544012087075364,0.30019122246681773,0.8046198869194092,0.7815326483081836,0.6451639791299766,0.4242527453834609,1.1388125512329061,0.9219656091665467,0.07591674433414977,0.8799243174585952,0.9640069008744981,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
ViTRegression,15,14,2.144786687917804,2.025272101163864,1.1561137598310334,1.385037641020279,2.665506561307449,2.5810112947439476,1.4950114201571212,1.7531015658322546,3.4089210236556404,0.01891919771830241,0.1484555316693589,-0.06329273546338723,0.10113113089999207,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
proposed,15,14,2.144786687917804,0.12462923458466925,0.14317254307225394,0.04534292297235401,0.2039155461969845,0.30422873320299515,0.3573109620426904,0.10635651782496805,0.5021009485810223,0.9848245620727539,0.023691650189339105,0.9717045635086862,0.9979445606368217,"Pooled over 3 datasets x 5 seeds = 15 runs; CI uses t(14)=2.145 with sqrt(15). Treat as descriptive: seeds repeat across datasets, so per-dataset CIs (STATS_indomain_mean_sd_ci.csv, n=5, t(4)=2.776) are the canonical inferential units."
