source_dataset,test_dataset,architecture,n_seeds,mae,mae_std,rmse,r2
Biofilms,EPFL,ARNIQA_SNR,5,0.7725,0.3828,0.9376,-2.115
Biofilms,EPFL,CNN_KAN,5,1.3834,0.7314,1.4284,-6.3465
Biofilms,EPFL,CNN_KAN_Local,5,1.076,0.4632,1.1054,-3.1708
Biofilms,EPFL,CNN_KAN_PSD,5,0.9905,0.4261,1.0302,-2.5705
Biofilms,EPFL,CNN_MLP,5,1.0215,0.264,1.0564,-2.4729
Biofilms,EPFL,CNN_RF,5,1.3684,0.4278,1.4637,-5.6999
Biofilms,EPFL,CalibNet,5,1.1504,0.4805,1.333,-4.9489
Biofilms,EPFL,ConvNextTinyRegression,5,1.5104,0.9879,1.6663,-9.4434
Biofilms,EPFL,ResNeXt50Regression,5,2.7083,2.668,2.8469,-40.3075
Biofilms,EPFL,ResNet18Regression,5,2.1181,1.3065,2.2212,-17.7173
Biofilms,EPFL,TOPIQ_NR_SNR,5,1.1166,0.333,1.2431,-3.7861
Biofilms,EPFL,ViTRegression,5,2.9693,1.7148,3.0496,-32.9806
Biofilms,EPFL,proposed,5,1.1151,0.3289,1.1661,-3.309
Biofilms,NFFA,ARNIQA_SNR,5,1.6373,0.7096,2.1701,0.5499
Biofilms,NFFA,CNN_KAN,5,0.4694,0.0852,0.7721,0.9495
Biofilms,NFFA,CNN_KAN_Local,5,0.4134,0.064,0.6854,0.9599
Biofilms,NFFA,CNN_KAN_PSD,5,0.4486,0.0521,0.7461,0.9529
Biofilms,NFFA,CNN_MLP,5,0.5217,0.0787,0.8692,0.9353
Biofilms,NFFA,CNN_RF,5,0.7627,0.0943,1.1515,0.8874
Biofilms,NFFA,CalibNet,5,1.5819,0.1446,2.2553,0.5708
Biofilms,NFFA,ConvNextTinyRegression,5,1.8124,0.7875,2.4455,0.3959
Biofilms,NFFA,ResNeXt50Regression,5,2.3077,1.4118,4.1507,-0.9805
Biofilms,NFFA,ResNet18Regression,5,1.6146,0.7506,2.1661,0.5274
Biofilms,NFFA,TOPIQ_NR_SNR,5,1.561,0.2217,2.0764,0.6358
Biofilms,NFFA,ViTRegression,5,3.1039,0.9464,3.7872,-0.2643
Biofilms,NFFA,proposed,5,0.4999,0.0331,0.8092,0.9447
EPFL,Biofilms,ARNIQA_SNR,5,3.93,0.5539,4.7258,-0.594
EPFL,Biofilms,CNN_KAN,5,2.3199,0.876,2.8067,0.3871
EPFL,Biofilms,CNN_KAN_Local,5,2.6477,0.7407,3.2046,0.2335
EPFL,Biofilms,CNN_KAN_PSD,5,4.404,1.1384,5.5205,-1.3029
EPFL,Biofilms,CNN_MLP,5,1.5449,0.1775,2.6295,0.5082
EPFL,Biofilms,CNN_RF,5,4.8855,0.0851,5.8539,-1.4135
EPFL,Biofilms,CalibNet,5,6.9723,2.7004,8.4755,-4.5332
EPFL,Biofilms,ConvNextTinyRegression,5,5.2613,0.0012,6.1359,-1.6504
EPFL,Biofilms,ResNeXt50Regression,5,7.7163,7.1646,8.6892,-7.5887
EPFL,Biofilms,ResNet18Regression,5,3.2776,0.7708,3.8623,-0.0821
EPFL,Biofilms,TOPIQ_NR_SNR,5,4.5419,0.1052,5.4083,-1.0601
EPFL,Biofilms,ViTRegression,5,5.1421,0.1925,5.9891,-1.5281
EPFL,Biofilms,proposed,5,2.336,0.2537,2.9878,0.3687
EPFL,NFFA,ARNIQA_SNR,5,2.3428,0.2193,3.0501,0.2176
EPFL,NFFA,CNN_KAN,5,1.4732,0.2937,1.9529,0.6709
EPFL,NFFA,CNN_KAN_Local,5,1.6014,0.2377,2.143,0.609
EPFL,NFFA,CNN_KAN_PSD,5,1.794,0.3339,2.2514,0.5639
