source_dataset,architecture,n_seeds,mae,mae_std,rmse,rmse_std,r2,r2_std,inference_ms,params,model_size_mb
Biofilms,ARNIQA_SNR,5,1.1638,0.1339,1.4796,0.1119,0.8452,0.0235,8.6541,23512129,89.8947
Biofilms,CNN_KAN,5,0.1842,0.0369,0.3622,0.1042,0.9902,0.0052,3.6806,69975,0.2669
Biofilms,CNN_KAN_Local,5,0.1747,0.0493,0.3441,0.1328,0.9907,0.0065,5.5417,72883,0.278
Biofilms,CNN_KAN_PSD,5,0.1785,0.06,0.3854,0.206,0.9872,0.0124,4.1213,72883,0.278
Biofilms,CNN_MLP,5,0.3446,0.0768,0.8341,0.1995,0.9488,0.0235,4.0445,25927,0.0989
Biofilms,CNN_RF,5,0.1194,0.0195,0.1739,0.0296,0.9978,0.0008,8.05,23414,0.0893
Biofilms,CalibNet,5,1.0593,0.114,1.6112,0.1096,0.8166,0.0248,3.9593,88961,0.3394
Biofilms,ConvNextTinyRegression,5,0.6796,0.1349,1.1156,0.2855,0.9078,0.0475,6.1881,27817825,106.1166
Biofilms,ResNeXt50Regression,5,0.5955,0.127,0.9837,0.2611,0.928,0.0412,5.6367,23000609,87.7404
Biofilms,ResNet18Regression,5,0.6161,0.0866,0.9761,0.1409,0.9318,0.0184,3.8695,11170753,42.613
Biofilms,TOPIQ_NR_SNR,5,1.0419,0.195,1.4692,0.3001,0.843,0.0629,12.2236,45196934,172.6157
Biofilms,ViTRegression,5,2.8087,0.4618,3.5277,0.4327,0.1134,0.1984,11.0531,85451521,325.9717
Biofilms,proposed,5,0.3135,0.0624,0.7688,0.183,0.9565,0.0214,3.8606,75935,0.2897
EPFL,ARNIQA_SNR,5,0.6844,0.0661,0.7701,0.0897,-0.7713,0.4099,11.3397,23512129,89.8947
EPFL,CNN_KAN,5,0.0147,0.0016,0.0186,0.002,0.999,0.0002,5.9317,69975,0.2669
EPFL,CNN_KAN_Local,5,0.0146,0.0012,0.0185,0.0015,0.999,0.0002,5.9683,72883,0.278
EPFL,CNN_KAN_PSD,5,0.0122,0.0009,0.0154,0.0012,0.9993,0.0001,7.0937,72883,0.278
EPFL,CNN_MLP,5,0.0114,0.0008,0.0145,0.001,0.9994,0.0001,5.8627,25927,0.0989
EPFL,CNN_RF,5,0.0243,0.004,0.0311,0.0048,0.9971,0.0009,7.265,23414,0.0893
EPFL,CalibNet,5,0.0262,0.0028,0.033,0.0037,0.9968,0.0007,6.0383,88961,0.3394
EPFL,ConvNextTinyRegression,5,0.4951,0.0,0.5841,0.0002,-0.0078,0.0005,7.927,27817825,106.1166
EPFL,ResNeXt50Regression,5,0.1196,0.0929,0.1425,0.1067,0.913,0.0815,11.0229,23000609,87.7404
EPFL,ResNet18Regression,5,0.0187,0.003,0.0234,0.0038,0.9983,0.0006,6.3753,11170753,42.613
EPFL,TOPIQ_NR_SNR,5,0.0507,0.0187,0.064,0.0228,0.9867,0.0092,12.1481,45196934,172.6157
EPFL,ViTRegression,5,0.4825,0.0058,0.5648,0.0107,0.0571,0.0354,16.6356,85451521,325.9717
EPFL,proposed,5,0.0113,0.0008,0.0143,0.001,0.9994,0.0001,6.2217,75935,0.2897
NFFA,ARNIQA_SNR,5,0.5224,0.1276,0.735,0.1373,0.9536,0.0175,10.1341,23512129,89.8947
NFFA,CNN_KAN,5,0.0551,0.0067,0.1103,0.0115,0.999,0.0002,4.5839,69975,0.2669
NFFA,CNN_KAN_Local,5,0.0585,0.0078,0.1132,0.0179,0.9989,0.0003,4.7196,72883,0.278
NFFA,CNN_KAN_PSD,5,0.0563,0.003,0.1182,0.0095,0.9988,0.0002,4.7459,72883,0.278
NFFA,CNN_MLP,5,0.0444,0.0047,0.127,0.0224,0.9986,0.0004,4.6361,25927,0.0989
NFFA,CNN_RF,5,0.1173,0.0099,0.1681,0.0196,0.9976,0.0005,6.1721,23414,0.0893
NFFA,CalibNet,5,0.1417,0.0836,0.2235,0.1604,0.9941,0.0082,4.5811,88961,0.3394
NFFA,ConvNextTinyRegression,5,2.8271,0.0251,3.7193,0.0316,-0.1559,0.0196,7.0561,27817825,106.1166
NFFA,ResNeXt50Regression,5,0.2977,0.0242,0.6654,0.1268,0.9619,0.0139,5.6508,23000609,87.7404
NFFA,ResNet18Regression,5,0.3253,0.0217,0.6606,0.0976,0.9629,0.011,4.7357,11170753,42.613
NFFA,TOPIQ_NR_SNR,5,0.5646,0.2708,0.8114,0.3613,0.9363,0.0534,12.5368,45196934,172.6157
NFFA,ViTRegression,5,2.7846,0.0412,3.6504,0.0647,-0.1137,0.0395,10.3129,85451521,325.9717
NFFA,proposed,5,0.049,0.0073,0.1296,0.0184,0.9986,0.0004,4.6156,75935,0.2897
