architecture,mae,mae_std,rmse,r2,total_params,checkpoint_mb_mean,checkpoint_mb_min,checkpoint_mb_max,cnn_param_memory_mb,size_note,bench_bs1_median_ms,bench_bs32_ms_per_sample
CNN_KAN_PSD,0.0823,0.0796,0.173,0.9951,72883,0.2848024368286133,0.2847795486450195,0.284825325012207,0.278,,1.4345594681799412,0.3928492187696975
CNN_KAN_Local,0.0826,0.0748,0.1586,0.9962,72883,0.28486042022705077,0.284825325012207,0.2849321365356445,0.278,,1.2411760399118066,0.4502239225985249
CNN_KAN,0.0847,0.0775,0.1637,0.996,69975,0.2736635208129883,0.2736406326293945,0.273686408996582,0.2669,,1.0006329976022243,0.3716056562552694
CNN_RF,0.087,0.0474,0.1244,0.9975,23414,75.5806370417277,7.360727310180664,115.2524347305298,0.0893,checkpoint_mb = CNN + serialized RandomForest (varies by dataset); cnn_param_memory_mb covers CNN only,21.964692568872124,0.8693917807249818
proposed,0.1246,0.1432,0.3042,0.9848,75935,0.2969522476196289,0.2969274520874023,0.2969770431518554,0.2897,,1.67220295406878,0.4710812481789617
CNN_MLP,0.1335,0.1605,0.3252,0.9823,25927,0.10538482666015622,0.1053628921508789,0.1054067611694336,0.0989,,2.590675954706967,0.4624282810254954
ResNet18Regression,0.3201,0.257,0.5534,0.9644,11170753,42.69208812713623,42.69196605682373,42.69221019744873,42.613,,1.3648090534843504,0.6496093283203663
ResNeXt50Regression,0.3376,0.2203,0.5972,0.9343,23000609,88.11655076344807,88.1083517074585,88.11813449859619,87.7404,,3.097716486081481,2.8741379974235315
CalibNet,0.409,0.4844,0.6226,0.9358,88961,0.3437985102335611,0.343693733215332,0.343846321105957,0.3394,,0.2358074998483061,0.2419598276901524
TOPIQ_NR_SNR,0.5524,0.4554,0.7815,0.922,45196934,172.74644565582275,172.74644565582275,172.74644565582275,172.4126,,8.926593465730548,3.966072030380019
ARNIQA_SNR,0.7902,0.3008,0.9949,0.3425,23512129,89.97030925750732,89.97030925750732,89.97030925750732,89.6917,,5.92300301650539,2.794724483464961
ConvNextTinyRegression,1.334,1.0981,1.8064,0.248,27817825,106.1902379989624,106.19005870819092,106.19041728973389,106.1166,,2.849736949428916,2.5092289215535857
ViTRegression,2.0253,1.1561,2.581,0.0189,85451521,326.0322759628296,326.03211402893066,326.03247451782227,325.9717,,8.980017504654825,7.264224281243514
