model,source_dataset,test_dataset,eval_type,seed,checkpoint_path,checkpoint_sha256,best_epoch,mae,mse,rmse,r2,n_samples,total_params,trainable_params,nontrainable_params,model_size_mb,training_time_sec,avg_inference_ms_sample,inference_std_ms,device
ARNIQA_SNR,EPFL,EPFL,in-domain,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_42/best.pt,76ed4e8841ef258112091769ebf852fd75420bdaaffb450b90f03f75e88a12c1,15,0.6200598076475619,0.46124966363142295,0.6791536377222925,-0.3627260539564481,2130,23512129,23512129,0,89.89471817016602,14529.418816328049,13.801411619768457,16.140794654614485,cuda
ARNIQA_SNR,EPFL,NFFA,cross-dataset,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_42/best.pt,76ed4e8841ef258112091769ebf852fd75420bdaaffb450b90f03f75e88a12c1,15,2.503520287997982,10.59571581797148,3.2551061147021736,0.11465964119804717,1930,23512129,23512129,0,89.89471817016602,14529.418816328049,15.007085503691837,8.35198942898219,cuda
ARNIQA_SNR,EPFL,Biofilms,cross-dataset,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_42/best.pt,76ed4e8841ef258112091769ebf852fd75420bdaaffb450b90f03f75e88a12c1,15,4.250006340231214,25.926009206326313,5.0917589501395595,-0.8251248910204789,140,23512129,23512129,0,89.89471817016602,14529.418816328049,15.031346252986364,9.529243976353825,cuda
ARNIQA_SNR,EPFL,EPFL,in-domain,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_123/best.pt,50241c71780083008d4ad5011449a98415d0c47687b55619d81d2c14f8423df4,16,0.7514996273416868,0.7255775313671816,0.8518083888804933,-1.1436620644336446,2130,23512129,23512129,0,89.89471817016602,14805.08618068695,7.868594406915943,1.7234281043134203,cuda
ARNIQA_SNR,EPFL,NFFA,cross-dataset,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_123/best.pt,50241c71780083008d4ad5011449a98415d0c47687b55619d81d2c14f8423df4,16,2.3749496908385517,9.415573957203685,3.068480724593799,0.2132681011075912,1930,23512129,23512129,0,89.89471817016602,14805.08618068695,8.176512668787506,1.849967480892365,cuda
ARNIQA_SNR,EPFL,Biofilms,cross-dataset,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_123/best.pt,50241c71780083008d4ad5011449a98415d0c47687b55619d81d2c14f8423df4,16,4.053143560886383,23.48669362512044,4.846307215305324,-0.6534032986657805,140,23512129,23512129,0,89.89471817016602,14805.08618068695,8.907718317849296,1.9185937138027875,cuda
ARNIQA_SNR,EPFL,EPFL,in-domain,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_456/best.pt,ee009771eb90b3dfe063af1d0354aa4394698a4fe6fb22c4620efd53e335edac,0,0.6184763760633871,0.46994191432915244,0.6855230954017176,-0.3884066287671917,2130,23512129,23512129,0,89.89471817016602,14689.972727775574,10.933869209647739,2.5028125503662273,cuda
ARNIQA_SNR,EPFL,NFFA,cross-dataset,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_456/best.pt,ee009771eb90b3dfe063af1d0354aa4394698a4fe6fb22c4620efd53e335edac,0,1.9899641450822663,6.762964651412154,2.6005700627770354,0.43491070788340047,1930,23512129,23512129,0,89.89471817016602,14689.972727775574,13.123586634897816,5.1083961501324815,cuda
ARNIQA_SNR,EPFL,Biofilms,cross-dataset,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_456/best.pt,ee009771eb90b3dfe063af1d0354aa4394698a4fe6fb22c4620efd53e335edac,0,2.9609961356435504,13.22611701712579,3.636772885007502,0.06891511194806366,140,23512129,23512129,0,89.89471817016602,14689.972727775574,13.324100630623954,9.699170997705565,cuda
ARNIQA_SNR,EPFL,EPFL,in-domain,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_789/best.pt,9cedf1fe9ab795220fa86b4655446d06c6098891e322fb4516528a26527cb28b,1,0.6808869630518094,0.5835475322452697,0.763902829059606,-0.724045541089138,2130,23512129,23512129,0,89.89471817016602,14558.773007631302,16.02752085582751,7.7911121546864806,cuda
ARNIQA_SNR,EPFL,NFFA,cross-dataset,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_789/best.pt,9cedf1fe9ab795220fa86b4655446d06c6098891e322fb4516528a26527cb28b,1,2.304045774899616,9.21378019198634,3.0354209250096336,0.23012927099651004,1930,23512129,23512129,0,89.89471817016602,14558.773007631302,9.957570733184024,5.681849960306693,cuda
ARNIQA_SNR,EPFL,Biofilms,cross-dataset,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_789/best.pt,9cedf1fe9ab795220fa86b4655446d06c6098891e322fb4516528a26527cb28b,1,4.065820917061397,24.013547342443353,4.900361960349802,-0.6904924559579901,140,23512129,23512129,0,89.89471817016602,14558.773007631302,8.003377914428711,1.872579334069188,cuda
ARNIQA_SNR,EPFL,EPFL,in-domain,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_1024/best.pt,852fe029e025879fbf23f74a3faa0f8aedb2bc31976a492cf378f09a2815b74c,85,0.7513233990736411,0.7574338163460445,0.8703067369301725,-1.237778966722916,2130,23512129,23512129,0,89.89471817016602,14075.831464767456,8.067334985509165,1.6004345448427535,cuda
ARNIQA_SNR,EPFL,NFFA,cross-dataset,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_1024/best.pt,852fe029e025879fbf23f74a3faa0f8aedb2bc31976a492cf378f09a2815b74c,85,2.5417093972468003,10.831564606435771,3.2911342431501898,0.09495295459101083,1930,23512129,23512129,0,89.89471817016602,14075.831464767456,9.286561654639367,1.9458081044502757,cuda
ARNIQA_SNR,EPFL,Biofilms,cross-dataset,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/EPFL/seed_1024/best.pt,852fe029e025879fbf23f74a3faa0f8aedb2bc31976a492cf378f09a2815b74c,85,4.319911614486149,26.561835711896297,5.1538175862069755,-0.869885454532243,140,23512129,23512129,0,89.89471817016602,14075.831464767456,11.004980972834996,1.9179799725242634,cuda
ARNIQA_SNR,NFFA,EPFL,cross-dataset,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_42/best.pt,96799cd73da84c03a50dad96b5a5dfa4402501ad87d42e35ba6d6cb247e80bb3,96,0.3056324452861374,0.1347731110352487,0.3671145748063521,0.601823384900596,2130,23512129,23512129,0,89.89471817016602,11060.340074062347,10.617772178470808,1.304770007566388,cuda
ARNIQA_SNR,NFFA,NFFA,in-domain,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_42/best.pt,96799cd73da84c03a50dad96b5a5dfa4402501ad87d42e35ba6d6cb247e80bb3,96,0.692895789344076,0.872229633453197,0.9339323495056786,0.9271195915495034,1930,23512129,23512129,0,89.89471817016602,11060.340074062347,10.427475469717708,1.7904336955185032,cuda
ARNIQA_SNR,NFFA,Biofilms,cross-dataset,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_42/best.pt,96799cd73da84c03a50dad96b5a5dfa4402501ad87d42e35ba6d6cb247e80bb3,96,1.7836043170520237,5.092521799909266,2.2566616494080955,0.641499460209602,140,23512129,23512129,0,89.89471817016602,11060.340074062347,10.041897637503487,1.479670608275693,cuda
ARNIQA_SNR,NFFA,EPFL,cross-dataset,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_123/best.pt,f913b35c629c0ef3424e7b519679ded76820f9a5eabdc9fd5adf6a87cbefa968,96,0.382322878233144,0.17763815489986012,0.42147141646837705,0.4751819655477808,2130,23512129,23512129,0,89.89471817016602,11819.02573299408,10.283091706289373,1.02347457421541,cuda
ARNIQA_SNR,NFFA,NFFA,in-domain,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_123/best.pt,f913b35c629c0ef3424e7b519679ded76820f9a5eabdc9fd5adf6a87cbefa968,96,0.5807575333303738,0.6270262673552802,0.7918499020365414,0.9476079134194021,1930,23512129,23512129,0,89.89471817016602,11819.02573299408,10.212218082012908,1.4733553527496213,cuda
ARNIQA_SNR,NFFA,Biofilms,cross-dataset,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_123/best.pt,f913b35c629c0ef3424e7b519679ded76820f9a5eabdc9fd5adf6a87cbefa968,96,1.9770868182182313,5.8665880217733095,2.422104048502729,0.5870071734261231,140,23512129,23512129,0,89.89471817016602,11819.02573299408,10.179202897208077,1.1709674789623634,cuda
ARNIQA_SNR,NFFA,EPFL,cross-dataset,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_456/best.pt,757b38712df38cad02ed2911cf0d71a8620efe8977a2cd984e2253a8dc6a6eb9,59,0.41144983578176003,0.20752241685427542,0.4555462839869023,0.3868912510398931,2130,23512129,23512129,0,89.89471817016602,12138.815976381302,10.290051290127034,1.0416397799693766,cuda
ARNIQA_SNR,NFFA,NFFA,in-domain,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_456/best.pt,757b38712df38cad02ed2911cf0d71a8620efe8977a2cd984e2253a8dc6a6eb9,59,0.3988395059664632,0.3700751991500454,0.6083380632099601,0.9690778315285232,1930,23512129,23512129,0,89.89471817016602,12138.815976381302,10.36905291166948,1.551315739312978,cuda
ARNIQA_SNR,NFFA,Biofilms,cross-dataset,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_456/best.pt,757b38712df38cad02ed2911cf0d71a8620efe8977a2cd984e2253a8dc6a6eb9,59,1.8544608780315943,5.467587860429522,2.3382873776397806,0.6150957666297403,140,23512129,23512129,0,89.89471817016602,12138.815976381302,10.01581975391933,1.3818347519861562,cuda
ARNIQA_SNR,NFFA,EPFL,cross-dataset,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_789/best.pt,1687f171d706494f999d2d57bad560b740fdbae8aa600e10a4486f85d09403a3,99,0.5586800749872772,0.340168035705497,0.5832392611145935,-0.004999854806372106,2130,23512129,23512129,0,89.89471817016602,11891.015630245209,10.28571263165541,0.8437818395687876,cuda
ARNIQA_SNR,NFFA,NFFA,in-domain,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_789/best.pt,1687f171d706494f999d2d57bad560b740fdbae8aa600e10a4486f85d09403a3,99,0.39286675972024393,0.36758204064909805,0.6062854448600082,0.9692861509927009,1930,23512129,23512129,0,89.89471817016602,11891.015630245209,9.942766298284186,0.9756248162992559,cuda
ARNIQA_SNR,NFFA,Biofilms,cross-dataset,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_789/best.pt,1687f171d706494f999d2d57bad560b740fdbae8aa600e10a4486f85d09403a3,99,1.668644918714251,4.645788315891654,2.155409083188538,0.6729483575251938,140,23512129,23512129,0,89.89471817016602,11891.015630245209,10.038701125553676,1.4693644373081582,cuda
ARNIQA_SNR,NFFA,EPFL,cross-dataset,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_1024/best.pt,fdb7f270040431d005a2c7ba2b15a3d785e59fa7ddffb220e946c1f95de59d07,92,0.32943137844963255,0.1437196726500084,0.37910377556812647,0.5753914683767458,2130,23512129,23512129,0,89.89471817016602,11993.316652297974,10.389746074945155,1.761512858079551,cuda
ARNIQA_SNR,NFFA,NFFA,in-domain,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_1024/best.pt,fdb7f270040431d005a2c7ba2b15a3d785e59fa7ddffb220e946c1f95de59d07,92,0.5468162883748662,0.5393612105082312,0.7344121530232401,0.9549328940263488,1930,23512129,23512129,0,89.89471817016602,11993.316652297974,9.719186249174601,1.6255441819500498,cuda
ARNIQA_SNR,NFFA,Biofilms,cross-dataset,1024,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/NFFA/seed_1024/best.pt,fdb7f270040431d005a2c7ba2b15a3d785e59fa7ddffb220e946c1f95de59d07,92,2.1095861111368452,9.112313637569475,3.018660901388143,0.35851637240585466,140,23512129,23512129,0,89.89471817016602,11993.316652297974,9.8245450428554,2.861766477433486,cuda
ARNIQA_SNR,Biofilms,EPFL,cross-dataset,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_42/best.pt,28f7b44a9ea27e85ce270f939aa47a1dfb94e888237e55f3116e4fb5601342ec,78,0.8592213066530899,1.0019339172200938,1.000966491557082,-1.960135390861776,2130,23512129,23512129,0,89.89471817016602,794.9570229053497,8.877201371349638,1.7830345354552162,cuda
ARNIQA_SNR,Biofilms,NFFA,cross-dataset,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_42/best.pt,28f7b44a9ea27e85ce270f939aa47a1dfb94e888237e55f3116e4fb5601342ec,78,1.2515073194404958,2.5328779277763407,1.5915017837804457,0.7883617216709795,1930,23512129,23512129,0,89.89471817016602,794.9570229053497,8.924119707216253,1.8960278907270292,cuda
ARNIQA_SNR,Biofilms,Biofilms,in-domain,42,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_42/best.pt,28f7b44a9ea27e85ce270f939aa47a1dfb94e888237e55f3116e4fb5601342ec,78,1.2040438669068472,2.5941554552686945,1.6106382136496993,0.8173780756263817,140,23512129,23512129,0,89.89471817016602,794.9570229053497,8.777267592293876,1.9615441046073347,cuda
ARNIQA_SNR,Biofilms,EPFL,cross-dataset,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_123/best.pt,e76b903b6babfc7ebb37c768c1797e848357c88574b664a41038ab9d669e44fb,99,0.5402810347471998,0.4253070685702514,0.6521557088381972,-0.2565364681450557,2130,23512129,23512129,0,89.89471817016602,818.0992469787598,8.796466236383143,1.6817294814760946,cuda
ARNIQA_SNR,Biofilms,NFFA,cross-dataset,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_123/best.pt,e76b903b6babfc7ebb37c768c1797e848357c88574b664a41038ab9d669e44fb,99,1.6660129842362874,4.143319462935905,2.0355145450072087,0.6537989501638914,1930,23512129,23512129,0,89.89471817016602,818.0992469787598,8.393572278591018,1.5683643087379924,cuda
ARNIQA_SNR,Biofilms,Biofilms,in-domain,123,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_123/best.pt,e76b903b6babfc7ebb37c768c1797e848357c88574b664a41038ab9d669e44fb,99,1.3723629934447152,2.5070533518259235,1.5833677247645044,0.8235098414445798,140,23512129,23512129,0,89.89471817016602,818.0992469787598,7.886791229248047,1.2560421180355243,cuda
ARNIQA_SNR,Biofilms,EPFL,cross-dataset,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_456/best.pt,1265d313c8b38b4d6aa5abdb505a6589d9950a442722500ecfdb0a389c1c8303,56,1.4065682348511028,2.9868400957514596,1.7282476951384773,-7.824385443313304,2130,23512129,23512129,0,89.89471817016602,780.8855810165405,8.728463437075906,1.5494549947860181,cuda
ARNIQA_SNR,Biofilms,NFFA,cross-dataset,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_456/best.pt,1265d313c8b38b4d6aa5abdb505a6589d9950a442722500ecfdb0a389c1c8303,56,2.815853306666557,13.791351910005291,3.713670947998125,-0.15235635403306436,1930,23512129,23512129,0,89.89471817016602,780.8855810165405,9.134110638514702,1.7499898819264417,cuda
ARNIQA_SNR,Biofilms,Biofilms,in-domain,456,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_456/best.pt,1265d313c8b38b4d6aa5abdb505a6589d9950a442722500ecfdb0a389c1c8303,56,1.1432610188211714,1.8453654523847884,1.3584422889415613,0.8700909810926513,140,23512129,23512129,0,89.89471817016602,780.8855810165405,9.192499092647008,1.7974251148793612,cuda
ARNIQA_SNR,Biofilms,EPFL,cross-dataset,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_789/best.pt,4cd321945690724272855bf41533c75201f96e36b8f2df65d71b7e0ef868560a,35,0.5698619363453467,0.4898320324500114,0.6998800128950757,-0.44717042702380083,2130,23512129,23512129,0,89.89471817016602,783.3222644329071,8.766030033989132,1.5541729537535103,cuda
ARNIQA_SNR,Biofilms,NFFA,cross-dataset,789,/mnt/d/hscf/sota_iqa_baselines/checkpoints/ARNIQA_SNR/Biofilms/seed_789/best.pt,4cd321945690724272855bf41533c75201f96e36b8f2df65d71b7e0ef868560a,35,1.489736745888705,4.611851397198609,2.147522152900549,0.6146500868009506,1930,23512129,23512129,0,89.89471817016602,783.3222644329071,9.104258779417048,1.846142674800777,cuda
